FID,NAME,ACREAGE,SOURCE,NOTES,OWNER,USER_,Shape__Area,Shape__Length
46,CASEYVILLE TWP SPORTS COMPLEX,19.37,EWGCC,DOQ/PBed,City(Twp),Public,8.10E-06,0.012690617
47,CHEROKEE PARK,5.63,EWGCC,DOQed-ok,City,Public,2.35E-06,0.006573977
48,LYON PARK,10.02,EWGCC,DOQed,City,Public,4.19E-06,0.008619476
49,FRANCIS PARK,57.67,EWGCC,DOQed-ok,City,Public,2.41E-05,0.019483038
50,EVERETT MOODY PARK,54.95,EWGCC,DOQed-MINUS(web),City,Public,2.30E-05,0.022087616
51,CHRISTY PARK,15.46,EWGCC,RM-DOQed,City,Public,6.46E-06,0.018071107
52,ENGELMANN WOODS NA,146.78,MOPUB,DOQedPLUS,MDC,Public,6.14E-05,0.037983337
53,ST. CLAIR COUNTY FOREST PRESERVE,35.35,EWGCC,DOQed-rough-Can'tFC,County,Public,1.48E-05,0.016099186
54,ST. CLAIR CC,149.56,EWGCC,DOQed-FCshape,Private,Private,6.25E-05,0.034193805
55,BELLEVUE PARK,28.13,EWGCC,DOQ/FCed,City,Public,1.18E-05,0.016695475
56,ELMWOOD GC,62.86,EWGCC,DOQ/PBed,Private,Public,2.63E-05,0.026350639
57,SWANSEA MOOSE CLUBGROUNDS,12.54,GEM,DOQ/FCed,Private,Private,5.24E-06,0.010518037
58,CITIZENS PARK,59.93,EWGCC,DOQed-FCshape,City,Public,2.50E-05,0.023169912
59,MELVIN PRICE PARK,24.68,EWGCC,DOQed,City,Public,1.03E-05,0.01578363
60,CAMP FIDDLECREEK,83.39,EWGCC,DOQ/PBed,Private,Semi-Public,3.49E-05,0.026686684
61,SOUTH SIDE PARK,9.53,EWGCC,DOQ/FCed,City,Public,3.98E-06,0.009764041
62,BELLE-CLAIR FAIRGROUNDS & EXPOSITION CTR,17.93,EWGCC,DOQ/FCed,County,Public,7.49E-06,0.01117382
63,CAMP KECK,17.93,EWGCC,DOQ/PBedPLUSgrlscout,Private,Semi-Public,7.49E-06,0.010956552
64,BLACKBURN PARK,14.14,EWGCC,Pacific,City,Public,5.91E-06,0.010088441
65,SHAW NATURE RESERVE,2507.38,EWGCC,DOQ/PBedPLUS(rivr?),Private,Public,0.001047297,0.145319757
66,SUGAR CREEK GC,248.2,EWGCC,DOQed-FCrough,Private,Public,0.000103651,0.10654283
67,PACIFIC CITY PARK,43.7,EWGCC,DOQed-FCshp/name,City,Public,1.83E-05,0.019549106
68,PLEASANT VALLEY PARK,43.88,EWGCC,DOQed,County,Public,1.83E-05,0.018240339
69,ARNOLD CITY PARK,49.5,EWGCC,DOQed,City,Public,2.07E-05,0.021069315
70,BOLM SCHULKRAFT PARK,43.48,EWGCC,DOQed,City,Public,1.81E-05,0.019025523
71,ARNOLD KHOURY LEAGUE PARK,13.19,EWGCC,DOQed,City,Public,5.50E-06,0.009508132
72,HOUSE SPRINGS GC,118.83,EWGCC,DOQed-PlatBkEd,Private,Public,4.96E-05,0.033836427
